Area,Price,n
BANTRY BAY,14995000,103
BERGVLIET,3995000.0000000005,35
BISHOPSCOURT,15900000,38
CAMPS BAY / BAKOVEN,13641333.333333334,348
CAPE FARMS - DISTRICT H,4808000,33
CAPE TOWN CITY CENTRE,3093500,1407
CAPRI,2600000,39
CLAREMONT,2639833.3333333335,401
CLIFTON,26499975,56
CLOVELLY,4495000,17
CONSTANTIA,11635277.777777778,208
DIEPRIVER,1725531.5,86
ELFINDALE,1924750,3
FISH HOEK,2800625,157
FORESHORE,3250000,103
FRESNAYE,9950000,167
GARDENS,8747500,292
GLENCAIRN,3379166.666666667,45
HAZENDAL,1894499.9999999998,6
HEATHFIELD,1150000,49
HOUT BAY,6908750,322
KALK BAY,5300000,28
KENILWORTH,2343750,277
KIRSTENHOF,2495000.0000000005,21
KOMMETJIE,4155000.0000000005,59
LAKESIDE,3575000.0000000005,28
LAVENDER HILL,499999.00000000006,11
LLANDUDNO,27000000.000000004,42
MAITLAND GARDEN VILLAGE,799500,2
MEADOWRIDGE,4095000.0000000005,8
MISTY CLIFFS,11299999.999999998,6
MOWBRAY,1973750,105
MUIZENBERG,3514166.6666666665,237
NEWLANDS,6449999.999999999,148
NOORDHOEK,8847111.111111112,89
OBSERVATORY,1995000,333
OCEAN VIEW,850000,17
ORANJEZICHT,2750000,140
PLUMSTEAD,2195000,150
RETREAT,1107333.3333333333,28
RONDEBOSCH,2750000,243
RONDEBOSCH EAST,3850000,26
ROSEBANK,1525000,87
SALT RIVER,1800000,79
SCARBOROUGH,5699000,21
SCHOTSCHEKLOOF,3324999.9999999995,60
SEA POINT,3995000.0000000005,726
SEAWINDS,707000,4
SIMON'S TOWN,3288750,112
SOUTHFIELD,2295000,25
ST JAMES,12499999.999999998,30
STEENBERG,1622500,17
SUNNYDALE,1736250,49
SUNVALLEY,2160000,7
SYBRAND PARK,2800000,3
TAMBOERSKLOOF,3195000.0000000005,91
TOKAI,10776999.799999999,132
VREDEHOEK,3535000.0000000005,205
WESTLAKE,6421666.666666667,58
WOODSTOCK,2615833.3333333335,445
WYNBERG,1585000,280
ZONNEBLOEM,7890000,231
